id;categoria;motor;cambio;combustivel;marca;modelo;500x12;500x24;500x36;1000x12;1000x24;1000x36;1500x12;1500x24;1500x36;2000x12;2000x24;2000x36;2500x12;2500x24;2500x36;3000x12;3000x24;3000x36
13;Hatch;1.3;Autom tico;Flex;Toyota;Etios Hatch X 1.3 16V Flex AT;1605;1475;1470;1675;1515;1510;1740;1570;1610;1795;1680;1650;1860;1800;1745;1955;1830;1800
14;Hatch;1.5;Autom tico;Flex;Toyota;Yaris Hatch XLS Connect 1.5 Flex 16V AT;3235;2660;2560;3380;2710;2610;3550;2775;2720;3705;2910;2810;3720;3100;2915;3770;3190;2970
15;Sedan;1.0;Manual;Flex;Ford;KA Sedan SE 1.0 Flex;1162;1309;1362;1199;1361;1416;1252;1422;1539;1335;1543;1620;1415;1635;1717;1515;1692;1777
16;Sedan;1.5;Manual;Flex;Ford;KA Sedan SE 1.5 Flex;1240;1315;1365;1305;1360;1410;1370;1420;1505;1440;1520;1555;1505;1585;1655;1605;1640;1705
17;Sedan;1.0;Manual;Flex;Ford;KA Sedan SE Plus 1.0 Flex;1085;1205;1230;1155;1250;1275;1220;1305;1395;1295;1425;1460;1360;1500;1550;1440;1550;1605
18;Sedan;1.5;Manual;Flex;Ford;KA Sedan SE PLUS 1.5 Flex;1105;1270;1360;1135;1320;1410;1200;1385;1520;1280;1510;1575;1355;1575;1690;1460;1635;1745
19;Sedan;1.5;Autom tico;Flex;Ford;KA Sedan SE PLUS 1.5 Flex AT;1165;1350;1445;1205;1400;1495;1280;1465;1600;1360;1570;1650;1440;1640;1755;1545;1700;1810
20;Sedan;1.3;Manual;Flex;Fiat;Cronos Drive 1.3;1930;1665;1700;2005;1710;1755;2070;1785;1860;2135;1900;1920;2205;1970;2030;2340;2040;2075
21;Sedan;1.8;Autom tico;Flex;Fiat;Cronos Precision 1.8 AT;2180;1925;1980;2270;1970;2030;2345;2035;2230;2420;2270;2285;2500;2370;2480;2610;2430;2530
22;Sedan;1.0;Manual;Flex;Nissan;Versa 1.0 S;1490;1325;1315;1550;1360;1355;1610;1410;1450;1660;1520;1510;1720;1575;1590;1800;1615;1640
23;Sedan;1.6;Manual;Flex;Nissan;Versa 1.6 S Flex;1455;1345;1380;1525;1390;1420;1590;1440;1525;1650;1550;1570;1710;1610;1675;1790;1660;1725
24;Sedan;1.6;Autom tico;Flex;Nissan;Versa 1.6 SL CVT Flex;1620;1710;1720;1660;1750;1755;1740;1805;1940;1805;2020;1985;1840;2100;2170;1970;2135;2220
25;Sedan;1.6;Autom tico;Flex;Volkswagen;Virtus 1.6 MSI AT;1435;1605;1690;1525;1650;1725;1610;1705;1840;1630;1830;1885;1660;1895;2000;1800;1930;2055
26;Sedan;1.0;Autom tico;Flex;Volkswagen;Virtus Comfortline 200 TSI;1510;1565;1715;1605;1615;1765;1685;1680;1885;1760;1810;1970;1840;2020;2070;1955;2120;2125
27;Sedan;1.0;Autom tico;Flex;Volkswagen;Virtus Highline 200TSI;1725;1770;1930;1820;1820;1980;1905;1895;2135;1990;2070;2225;2075;2295;2355;2195;2405;2410
28;Sedan;1.4;Autom tico;Flex;Volkswagen;Jetta Comfortline 1.4 250 TSI Tiptronic;2624;2415;2407;2689;2439;2445;2754;2503;2626;2812;2725;2685;2877;2798;2872;3018;2850;2932
29;Sedan;1.4;Autom tico;Flex;Volkswagen;Jetta R-Line 1.4 250 TSI Tiptronic;2890;2805;2845;2970;2835;2890;3055;2910;3095;3130;3160;3165;3135;3250;3385;3305;3310;3455
30;Sedan;2.0;Autom tico;Flex;Volkswagen;Jetta GLI 350TSI;5715;4360;4155;5850;4395;4190;5800;4460;4485;5835;4835;4555;5840;4935;4860;5975;4985;4940
31;Sedan;2.0;Autom tico;Flex;Toyota;Corolla XEI 2.0L Dynamic Force;3795;3170;3080;3950;3225;3135;4115;3305;3275;4305;3450;3330;4500;3545;3480;4585;3605;3555
32;Sedan;1.4;Autom tico;Flex;Chevrolet;Cruze LT 1.4 Turbo Ecotec AT;2375;2160;2230;2475;2210;2275;2565;2280;2410;2645;2410;2465;2730;2505;2600;2845;2565;2675
33;Sedan;1.0;Manual;Flex;Chevrolet;Onix Plus 1.0 LT;2310;1885;1810;2435;1930;1850;2565;1980;1950;2675;2095;2010;2650;2155;2105;2700;2200;2155
34;Sedan;1.0;Autom tico;Flex;Chevrolet;Onix Plus 1.0 LT Turbo AT;3160;2370;2200;3250;2410;2240;3330;2460;2345;3405;2575;2405;3485;2640;2500;3580;2690;2550
